LONC_CODE,DTA_DESC
94559-2,SARS-CoV-2 ORF1ab Resp Ql NAA+probe - SARS-CoV-2 (COVID-19) ORF1ab region [Presence] in Respiratory specimen by NAA with probe detection
4996-5,CMV DNA Bld Ql NAA+probe - Cytomegalovirus DNA [Presence] in Blood by NAA with probe detection
85477-8,FLUAV RNA Upper resp Ql NAA+probe - Influenza virus A RNA [Presence] in Upper respiratory specimen by NAA with probe detection
34163-6,O2 Ct Bld-sCnc - Oxygen content in Blood
14895-7,Prot Pattern SerPl IFE-Imp - Protein Fractions [Interpretation] in Serum or Plasma by Immunofixation
22763-7,Ammonia Plas-mCnc - Ammonia [Mass/volume] in Plasma
94558-4,SARS-CoV-2 Ag Resp Ql IA.rapid - SARS-CoV-2 (COVID-19) Ag [Presence] in Respiratory specimen by Rapid immunoassay
30089-7,Trans Cells #/area UrnS HPF - Transitional cells [#/area] in Urine sediment by Microscopy high power field
5047-6,ANA Ser IA-aCnc - Nuclear Ab [Units/volume] in Serum by Immunoassay
30400-6,Hypochromia Bld Ql - Hypochromia [Presence] in Blood
55752-0,Clinical info - Clinical information
38910-6,Schistocytes Bld Ql Auto - Schistocytes [Presence] in Blood by Automated count
13753-9,Hexanoylgly/Creat Ur - Hexanoylglycine/Creatinine [Mass Ratio] in Urine
92142-9,FLUAV RNA Resp Ql NAA+probe - Influenza virus A RNA [Presence] in Respiratory specimen by NAA with probe detection
92141-1,FLUBV RNA Resp Ql NAA+probe - Influenza virus B RNA [Presence] in Respiratory specimen by NAA with probe detection
648-6,Gram Stn Spt - Microscopic observation [Identifier] in Sputum by Gram stain
42679-1,Heparin PPP Chro-aCnc - Heparin [Units/volume] in Platelet poor plasma by Chromogenic method
46993-2,HLA Ab Pnl Ser - HLA Ab panel - Serum
66745-1,Clot Lysis 30M p MA LenFr Bld TEG - Clot Lysis [Length fraction] in Blood by Thromboelastography --30 minutes post maximum clot amplitude
10524-7,Cyto Cvx - Microscopic observation [Identifier] in Cervix by Cyto stain
60431-4,Date previous bx - Date of previous biopsy
60432-2,Date of previous PAP - Date of previous PAP smear
19763-2,Specimen source Cvx/Vag Cyto - Specimen source [Identifier] in Cervical or vaginal smear or scraping by Cyto stain
34468-9,C diff Tox A+B Stl Ql IA - Clostridioides difficile toxin A+B [Presence] in Stool by Immunoassay
5822-2,Yeast #/area UrnS HPF - Yeast [#/area] in Urine sediment by Microscopy high power field
5793-5,Gran Casts #/area UrnS LPF - Granular casts [#/area] in Urine sediment by Microscopy low power field
9842-6,Casts #/area UrnS LPF - Casts [#/area] in Urine sediment by Microscopy low power field
80223-1,CD4 Cells/lymph NFr Spec - CD4 cells/100 lymphocytes in Specimen
60048-6,APAP Bld-mCnc - Acetaminophen [Mass/volume] in Blood
52797-8,Dx ICD code - Diagnosis ICD code [Identifier]
18314-5,Morphology Bld-Imp - Morphology [Interpretation] in Blood Narrative
53332-3,Amorph Cry #/area Ur Comp Assist - Crystals.amorphous [#/area] in Urine by Computer assisted method
3267-2,Deprecated Heparin Ab Ser Qn Pl Agg - Deprecated Heparin Ab [Threshold] in Serum by Platelet aggregation
32515-9,CD3+CD4+ Cells # Spec - CD3+CD4+ (T4 helper) cells [#/volume] in Specimen
19076-9,Total Cells Counted Spec - Cells Counted Total [#] in Specimen
19774-9,Cytology Cmnt Cvx/Vag Cyto-Imp - Cytology study comment Cervical or vaginal smear or scraping Cyto stain
60201-1,Salicylates Bld-mCnc - Salicylates [Mass/volume] in Blood
48664-7,Fibrinogen PPP Coag.derived-mCnc - Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation.derived
19145-2,Ref Lab Test Name - Reference lab test name
11546-9,Other Stn Spec - Microscopic observation [Identifier] in Specimen by Other stain
69426-5,Medical director review - Medical director review of results
33515-8,Clarity Spec - Clarity of Specimen
33512-5,Color Spec - Color of Specimen
14715-7,Estradiol SerPl-sCnc - Estradiol (E2) [Moles/volume] in Serum or Plasma
26476-2,Lymphocytes # Fld - Lymphocytes [#/volume] in Body fluid
6745-4,Neuts Seg # Fld Manual - Segmented neutrophils [#/volume] in Body fluid by Manual count
62469-2,HIV1 RNA SerPl NAA+probe-aCnc - HIV 1 RNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection
75697-3,Bilirubin fractions Pnl SerPl-sCnc - Bilirubin fractions panel [Moles/volume] - Serum or Plasma
13653-1,Renal Epi Cells # UrnS - Epithelial cells.renal [#/volume] in Urine sediment
85478-6,FLUBV RNA Upper resp Ql NAA+probe - Influenza virus B RNA [Presence] in Upper respiratory specimen by NAA with probe detection
62238-1,GFR/BSA.pred SerPlBld CKD-EPI-ArVRat - Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)
25835-0,HIV1 RNA SerPl Ql NAA+probe - HIV 1 RNA [Presence] in Serum or Plasma by NAA with probe detection
51484-4,Hyaline Casts # Ur Auto - Hyaline casts [#/volume] in Urine by Automated count
20475-0,CMV IgG SerPl-Imp - Cytomegalovirus IgG Ab [Interpretation] in Serum or Plasma
21262-1,E coli SXT Stl Ql IA - Escherichia coli shiga-like toxin [Presence] in Stool by Immunoassay
20626-8,Reducing Subs Ur Strip-aCnc - Reducing substances [Units/volume] in Urine by Test strip
80222-3,CD8 Cells/lymph NFr Spec - CD8 cells/100 lymphocytes in Specimen
29305-0,Medication prescribed - Medication prescribed
85479-4,RSV RNA Upper resp Ql NAA+probe - Respiratory syncytial virus RNA [Presence] in Upper respiratory specimen by NAA with probe detection
28638-5,Base excess BldCoA Calc-sCnc - Base excess in Arterial cord blood by calculation
47527-7,Cytology Cvx/Vag Doc Thin Prep - Cytology report of Cervical or vaginal smear or scraping Cyto stain.thin prep
49736-2,Clarity CSF - Clarity of Cerebral spinal fluid
28639-3,Base excess BldCoV Calc-sCnc - Base excess in Venous cord blood by calculation
26454-9,RBC # CSF - Erythrocytes [#/volume] in Cerebral spinal fluid
30383-4,Epi Cells # Ur - Epithelial cells [#/volume] in Urine
58470-6,Nuc cell # CSF - Nucleated cells [#/volume] in Cerebral spinal fluid
13532-7,Xanthochromia CSF Ql - Xanthochromia [Presence] of Cerebral spinal fluid Qualitative
32173-7,Eosinophil Bld Ql Wright Stn - Eosinophils [Presence] in Blood by Wright stain
60340-7,Amorph Cry UrnS Ql Micro - Crystals.amorphous [Presence] in Urine sediment by Light microscopy
717-9,Hgb Bld Ql - Hemoglobin [Presence] in Blood
31967-3,Gp B Strep Ag Throat Ql - Streptococcus agalactiae Ag [Presence] in Throat
74751-9,Collect Tme Ur - Collection time of Urine
15185-2,IgM Fld-mCnc - IgM [Mass/volume] in Body fluid
32721-3,Tacrolimus SerPl-mCnc - Tacrolimus [Mass/volume] in Serum or Plasma
4105-3,APAP Dose - Acetaminophen [Mass] of Dose
87431-3,HSV 1+2 DNA Pnl Spec NAA+probe - Herpes simplex virus 1 and 2 DNA panel - Specimen Qualitative by NAA with probe detection
30385-9,RDW RBC-Rto - Erythrocyte distribution width [Ratio]
69002-4,HPV E6+E7 mRNA Cvx Ql NAA+probe - Human papilloma virus E6+E7 mRNA [Presence] in Cervix by NAA with probe detection
47228-2,NonHDLc SerPl - Cholesterol non HDL/Cholesterol.total [Mass Ratio] in Serum or Plasma
69562-7,C albicans DNA Vag Ql NAA+probe - Candida albicans DNA [Presence] in Vaginal fluid by NAA with probe detection
46154-1,T vaginalis rRNA Spec Ql NAA+probe - Trichomonas vaginalis rRNA [Presence] in Specimen by NAA with probe detection
74280-9,Mitogen IGNF.spot count Bld - Mitogen stimulated gamma interferon positive control spot count [#] in Blood
74279-1,IGNF neg cntrl Bld - Gamma interferon negative control spot count [#] in Blood
43398-7,G vaginalis+Prev sp mtyp Vag Ql Micro - Gardnerella vaginalis+Prevotella sp morphotypes [Presence] in Vaginal fluid by Light microscopy
21021-1,Gram Stn Bronch - Microscopic observation [Identifier] in Bronchial specimen by Gram stain
63481-6,Urea 24h Ur-mCnc - Urea [Mass/volume] in 24 hour Urine
83109-9,Progest SerPl IA-mCnc - Progesterone [Mass/volume] in Serum or Plasma by Immunoassay
33234-6,CaOx Cry Ur Ql Comp Assist - Calcium oxalate crystals [Presence] in Urine by Computer assisted method
11559-2,OxyHgb MFr Bld - Fractional oxyhemoglobin in Blood
86621-0,MRB mecC Islt/Spm Ql - Methicillin resistance mecC gene [Presence] by Molecular method
39533-5,DO-Hgb Bld-mCnc - Deoxyhemoglobin [Mass/volume] in Blood
35076-9,Monocytes # Fld - Monocytes [#/volume] in Body fluid
26446-5,Blasts/leuk NFr Bld - Blasts/100 leukocytes in Blood
58941-6,Bilirub Skin-mCnc - Bilirubin [Mass/volume] in Skin
1504-0,Glucose 1h p 50 g Glc PO SerPl-mCnc - Glucose [Mass/volume] in Serum or Plasma --1 hour post 50 g glucose PO
32727-0,Urobilinogen Ur-aCnc - Urobilinogen [Units/volume] in Urine
20599-7,CD3 Cells NFr Spec - CD3 cells/100 cells in Specimen
46130-1,Prealb SerPl Neph-mCnc - Prealbumin [Mass/volume] in Serum or Plasma by Nephelometry
17864-0,Ca-I SerPl ISE-mCnc - Calcium.ionized [Mass/volume] in Serum or Plasma by Ion-selective membrane electrode (ISE)
20607-8,CD3+CD4+ Cells/CD3+CD8+ Cells Spec - CD3+CD4+ (T4 helper) cells/CD3+CD8+ (T8 suppressor cells) cells [# Ratio] in Specimen
14357-8,Gram Stn CSF - Microscopic observation [Identifier] in Cerebral spinal fluid by Gram stain
11115-3,Neutrophils NFr Mar Manual - Neutrophils/100 cells in Bone marrow by Manual count
72494-8,CMV DNA Plas NAA+probe-Log IU - Cytomegalovirus DNA [log units/volume] (viral load) in Plasma by NAA with probe detection
20593-0,CD19 Cells NFr Spec - CD19 cells/100 cells in Specimen
42216-2,Ref Lab Name - Reference lab name [Identifier]
19762-4,Gen Categ Cvx/Vag Cyto-Imp - General categories [Interpretation] of Cervical or vaginal smear or scraping by Cyto stain
2519-7,Lactate BldV-sCnc - Lactate [Moles/volume] in Venous blood
12710-0,Hgb Fract Bld-Imp - Hemoglobin pattern [Interpretation] in Blood
32684-3,LMWH PPP-aCnc - LMW Heparin [Units/volume] in Platelet poor plasma
20598-9,CD3 Cells # Spec - CD3 cells [#/volume] in Specimen
38898-3,D Dimer Titr PPP - Fibrin D-dimer [Titer] in Platelet poor plasma
66736-0,Normalized SCT PPP-Rto - Normalized silica clotting time of Platelet poor plasma
2009-9,Cancer Ag19-9 SerPl Ql - Cancer Ag 19-9 [Presence] in Serum or Plasma
48067-3,D dimer FEU PPP IA-mCnc - Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma by Immunoassay
26475-4,Lymphocytes # CSF - Lymphocytes [#/volume] in Cerebral spinal fluid
32517-5,CD3+CD8+ Cells # Spec - CD3+CD8+ (T8 suppressor cells) cells [#/volume] in Specimen
49034-2,Microorganism Cvx/Vag Cyto - Microorganism identified in Cervical or vaginal smear or scraping by Cyto stain
69007-3,CarboxyTHC Mec Cfm-mCnt - Carboxy tetrahydrocannabinol [Mass/mass] in Meconium by Confirmatory method
49101-9,H pylori DNA Spec Ql NAA+probe - Helicobacter pylori DNA [Presence] in Specimen by NAA with probe detection
54089-8,NB Screen Pnl Patient AHIC - Newborn screening panel American Health Information Community (AHIC)
53282-0,Gran Casts # Ur Comp Assist - Granular casts [#/volume] in Urine by Computer assisted method
71845-2,SaO2 DF BldV - Oxygen saturation [Pure mass fraction] in Venous blood
35026-4,Monocytes # CSF - Monocytes [#/volume] in Cerebral spinal fluid
33558-8,Creat Cl ?Tm Ur+SerPl-vRate - Creatinine renal clearance in Urine and Serum or Plasma collected for unspecified duration
20620-1,CD16+CD56+ Cells NFr Spec - CD16+CD56+ cells/100 cells in Specimen
55454-3,Deprecated Hgb A1c Bld - Deprecated Hemoglobin A1c in Blood
59470-5,Ca-I BldA-mCnc - Calcium.ionized [Mass/volume] in Arterial blood
34440-8,Interpretation Ur IEP-Imp - Immunoelectrophoresis for Urine
41003-5,HCoV 229E RNA Spec Ql NAA+probe - Human coronavirus 229E RNA [Presence] in Specimen by NAA with probe detection
88517-8,M TB IFN-g CD4+CD8+ bckgrnd cor Bld-aCnc - Mycobacterium tuberculosis stimulated gamma interferon release by CD4+ and CD8+ T-cells [Units/volume] corrected for background in Blood
31978-0,T vaginalis Ag Genital Ql - Trichomonas vaginalis Ag [Presence] in Genital specimen
58714-7,Oxidants Ur Ql - Oxidants [Presence] in Urine
35079-3,Mesothl Cell # Fld - Mesothelial cells [#/volume] in Body fluid
34474-7,ABO + Rh BldCo - ABO and Rh group [Type] in Cord blood
35063-7,Eosinophil # Fld - Eosinophils [#/volume] in Body fluid
14812-2,Lidocain SerPl-sCnc - Lidocaine [Moles/volume] in Serum or Plasma
32146-3,Lg Platelets Bld Ql Smear - Platelets Large [Presence] in Blood by Light microscopy
19346-6,Amphet Ur-mCnc - Amphetamine [Mass/volume] in Urine
41875-6,B pert+parapert DNA Pnl Spec NAA+probe - Bordetella pertussis and Bordetella parapertussis DNA panel - Specimen by NAA with probe detection
31017-7,tTG IgA Ser-aCnc - Tissue transglutaminase IgA Ab [Units/volume] in Serum
41037-3,Cocaine Mec Ql Cfm - Cocaine [Presence] in Meconium by Confirmatory method
66441-7,B-OH-Butyr Bld Strip-sCnc - Beta hydroxybutyrate [Moles/volume] in Blood by Test strip
52114-6,DAT IgG-Sp Reag RBCCo Ql - Direct antiglobulin test.IgG specific reagent [presence] on Cord red blood cells
25461-5,Lithium Bld-sCnc - Lithium [Moles/volume] in Blood
31100-1,Hct VFr Bld Imped - Hematocrit [Volume Fraction] of Blood by Impedance
69022-2,Methamphet Mec Cfm-mCnt - Methamphetamine [Mass/mass] in Meconium by Confirmatory method
71857-7,Hgb S MFr.DF Bld - Hemoglobin S/Hemoglobin.total [Pure mass fraction] in Blood
3426-4,THC Ur Ql - Tetrahydrocannabinol [Presence] in Urine
3793-7,MTX SerPl-mCnc - Methotrexate [Mass/volume] in Serum or Plasma
30325-5,CMV IgM SerPl Ql - Cytomegalovirus IgM Ab [Presence] in Serum or Plasma
18225-3,RBC Shape Bld - Erythrocyte shape [Morphology] in Blood
9426-8,Barbiturates Ur-mCnc - Barbiturates [Mass/volume] in Urine
53027-9,cCP Ab Ser-aCnc - Cyclic citrullinated peptide Ab [Units/volume] in Serum
26971-2,Smooth muscle Ab Ser Ql IF - Smooth muscle Ab [Presence] in Serum by Immunofluorescence
14030-1,ENA SM+RNP Ab Ser IA-aCnc - Smith extractable nuclear Ab+Ribonucleoprotein extractable nuclear Ab [Units/volume] in Serum by Immunoassay
41511-7,T vaginalis Ag Vag Ql - Trichomonas vaginalis Ag [Presence] in Vaginal fluid
94759-8,SARS-CoV-2 RNA Nph Ql NAA+probe - SARS-CoV-2 (COVID-19) RNA [Presence] in Nasopharynx by NAA with probe detection
19648-5,oxyMORphone Ur-mCnc - oxyMORphone [Mass/volume] in Urine
73819-5,PF4 heparin cmplx IgG SerPl Ql IA - Heparin induced platelet IgG Ab [Presence] in Serum or Plasma by Immunoassay
22634-0,Path report.gross Spec - Pathology report gross observation Narrative
59420-0,HPV I/H Risk 4 DNA Cvx Ql Probe+sig amp - Human papilloma virus 16+18+31+33+35+39+45+51+52+56+58+59+66+68 DNA [Presence] in Cervix by Probe with signal amplification
44524-7,H capsul Ag Ur Ql IA - Histoplasma capsulatum Ag [Presence] in Urine by Immunoassay
33800-4,dsDNA IgG Ser-aCnc - DNA double strand IgG Ab [Units/volume] in Serum
14805-6,LDH SerPl P to L-cCnc - Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Pyruvate to lactate reaction
35036-3,Macrophages # Fld - Macrophages [#/volume] in Body fluid
88616-8,HCoV NL63 RNA Lower resp Ql NAA+probe - Human coronavirus NL63 RNA [Presence] in Lower respiratory specimen by NAA with probe detection
88605-1,HCoV OC43 RNA Lower resp Ql NAA+probe - Human coronavirus OC43 RNA [Presence] in Lower respiratory specimen by NAA with probe detection
88608-5,HCoV 229E RNA Lower resp Ql NAA+probe - Human coronavirus 229E RNA [Presence] in Lower respiratory specimen by NAA with probe detection
88594-7,HCoV HKU1 RNA Lower resp Ql NAA+probe - Human coronavirus HKU1 RNA [Presence] in Lower respiratory specimen by NAA with probe detection
61422-2,Norhydrocodone Ur Cfm-mCnc - Norhydrocodone [Mass/volume] in Urine by Confirmatory method
82675-0,HPV I/H Risk 4 DNA Cvx Ql NAA+probe - Human papilloma virus 16+18+31+33+35+39+45+51+52+56+58+59+66+68 DNA [Presence] in Cervix by NAA with probe detection
49610-9,S pyo DNA Spec NAA+probe - Streptococcus pyogenes DNA [Identifier] in Specimen by NAA with probe detection
13984-0,Alpha1 Glob 24h MFr Ur Elph - Alpha 1 globulin/Protein.total in 24 hour Urine by Electrophoresis
48398-2,HBV DNA SerPl NAA+probe-Log IU - Hepatitis B virus DNA [log units/volume] (viral load) in Serum or Plasma by NAA with probe detection
74106-6,Proteinase3 IgG SerPl IA-aCnc - Proteinase 3 IgG Ab [Units/volume] in Serum or Plasma by Immunoassay
14236-4,Mitochondria Ab Ser Ql - Mitochondria Ab [Presence] in Serum
80680-2,Vibrio chol toxin ctxA Stl Ql NAA+probe - Vibrio cholerae toxin ctxA gene [Presence] in Stool by NAA with probe detection
13988-1,B-Globulin 24h MFr Ur Elph - Beta globulin/Protein.total in 24 hour Urine by Electrophoresis
50028-0,E coli IgE Qn - Escherichia coli IgE Ab [Units/volume] in Serum
32709-8,Neutrophils # Fld - Neutrophils [#/volume] in Body fluid
35011-6,Neuts Seg # CSF - Segmented neutrophils [#/volume] in Cerebral spinal fluid
24124-0,Casts UrnS Ql Micro - Casts [Presence] in Urine sediment by Light microscopy
91127-1,MA ADP Bld Res TEG - Maximum amplitude ADP induced [Length] in Blood by Resonance TEG
21059-1,Albumin 24h Ur-mCnc - Albumin [Mass/volume] in 24 hour Urine
38189-7,Alpha2 Glob 24h Ur Elph-mCnc - Alpha 2 globulin [Mass/volume] in 24 hour Urine by Electrophoresis
6890-8,Gamma glob 24h Ur-mCnc - Gamma globulin [Mass/volume] in 24 hour Urine
32210-7,Prot Pattern 24h Ur Elph-Imp - Protein Fractions [Interpretation] in 24 hour Urine by Electrophoresis
73818-7,PF4 heparin cmplx IgG SerPl IA - Heparin induced platelet IgG Ab in Serum or Plasma by Immunoassay
7905-3,HBV surface Ag SerPl Ql Nt - Hepatitis B virus surface Ag [Presence] in Serum or Plasma by Neutralization test
19321-9,6MAM Ur Ql Scn - 6-Monoacetylmorphine (6-MAM) [Presence] in Urine by Screen method
22724-9,Alanine Spec-sCnc - Alanine [Moles/volume] in Specimen
33341-9,Gran Casts #/area Ur Comp Assist - Granular casts [#/area] in Urine by Computer assisted method
